block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
11,08:42,08:51,522.0,531.0,0.15,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Saúde, Economia/Proteção Social",,,tvi 20 03 | 20 03 | tvi | jornal nacional,"chamada, o aviso, o pagamento da consulta teria de ser feito em numerário ou cheque, as autoridades terão percebido através de escutas que não havia sequer multibenco. Mas vemos aos preços de uma primeira consulta, custava ao paciente 160 euros, as que viriam a seguir 140. Tudo para aceleram medicamento, o que custa 120 euros sem comparticipação, mas nem 11 euros se for prescrito por um médico. E já que estamos nos números, os que",13
12,08:51,10:15,531.0,615.0,1.4,Saúde,Justiça/Segurança,Saúde,low_conflict,True,OCR and speech themes conflict.,1.0,0.536,4,late_body_ocr_change,low,,54.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",False,,,,"Saúde, Justiça/Segurança","Saúde, Economia/Proteção Social, Justiça/Segurança, Internacional",,,ozempic det 101 | tvi 20 03 | ozempic det | 20 03 | ozempic design | ozempic den | jornal nacional | ozempic para todos,"chamada, o aviso, o pagamento da consulta teria de ser feito em numerário ou cheque, as autoridades terão percebido através de escutas que não havia sequer multibenco. Mas vemos aos preços de uma primeira consulta, custava ao paciente 160 euros, as que viriam a seguir 140. Tudo para aceleram medicamento, o que custa 120 euros sem comparticipação, mas nem 11 euros se for prescrito por um médico. E já que estamos nos números, os que a Madagraça Vargas, terá começado em 2014, foram 11 anos que resultaram em 66 mil em balagens pela médica prescritas, a quase 2 milutentes. Leça no despacho que ao todo foram mais de 6 milhões de euros comparticipados pelo serviço nacional de saúde, no que aos tras...",14
13,10:15,10:18,615.0,618.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,Justiça/Segurança,,,medicamento sujesto a reco | solução injetável e via subcutânea | uma vez por sema | tvi 20 04 | 0 754 | a segu,"sinal de medicamentos para diabéticos. Agora a médica vai ter de pagar uma caução de meio-milhão de euros, fica ainda proibida de contactar com as testimonhas, frequentar a clínica e exercer a profissão.",15
14,10:18,14:09,618.0,849.0,3.85,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,0.74,0.596,7,weak_candidate_no_persistence,low,10:24,6.0,3,"new_body_terms, lexical_shift_from_baseline",False,,,,Justiça/Segurança,"Justiça/Segurança, Governo/Partidos, Economia/Proteção Social",,,tvi 20 04 | mumereedenboron | mulher detida por mandar matar ex marido | 20 04 | 24 horas todos os dia | jornal nacional | nep 3 01 06 de 04nov16 | 24 horas todos os dias,"sinal de medicamentos para diabéticos. Agora a médica vai ter de pagar uma caução de meio-milhão de euros, fica ainda proibida de contactar com as testimonhas, frequentar a clínica e exercer a profissão. Não saia a estilana nunca mais. O marido de Fernanda era cliente habitual da barbaria de Carlos Pinae. No dia do crime, o casal estava na loja quando Fernanda o silva, disparou a matar. Esta quinta-feira ouviram se tepoei mentos e motivos dos familiares. O tribunal tentou ainda apurar as iluminações atribuirás vítimas. As algações finais estão marcadas para daqui a um mês. A história parece digna de um filme. Acabou a relação e abril e começou o interesse. A mulher de 46 anos, nacionalidade ...",16
15,14:09,14:24,849.0,864.0,0.25,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,weak_candidate_no_persistence,low,14:18,9.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,14:00,9.0,"theme_changed, entities_changed, volume_change_high",,"Governo/Partidos, Economia/Proteção Social",,,tvi 20 08 | ale | motoristas públicos fazem horas a mais | 1vi 20 08 | ac97po | 20 08 | jornal nacional | a097p0,"quinta-feira foi lidecretada à medida de coação mais gravosa, vai aguardar julgamento a imprisão preventiva. PS se chega anularam-se no Parlamento e não conseguiram aprovar o aumento permanente das pensões mais baixas que ambos",17
16,14:24,20:06,864.0,1206.0,5.7,Eleições/Campanha,Economia/Proteção Social,Eleições/Campanha,low_conflict,True,OCR and speech themes conflict.,0.895,0.412,11,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,24.0,"theme_changed, entities_changed, volume_change_high","Economia/Proteção Social, Governo/Partidos, Transportes/Mobilidade, Eleições/Campanha","Governo/Partidos, Economia/Proteção Social, Transportes/Mobilidade, Eleições/Campanha, Educação","André Ventura, Luís Marques Mendes, António José Seguro",,det | tvi 20 08 | pensões não vão aumentar | 20 08 | jornal nacional | tvi | bónus aprovado mas aumento permanente chumbado | 20 09,"quinta-feira foi lidecretada à medida de coação mais gravosa, vai aguardar julgamento a imprisão preventiva. PS se chega anularam-se no Parlamento e não conseguiram aprovar o aumento permanente das pensões mais baixas que ambos defendiam. A vitória nas propostas de alteração ao Orçamento está devolta a ficar do lado do Governo. O PSD conseguiu vilizar a medida que os celistas tento criam a evitar. Para o ano, haverá apenas um suplemento extraordinário das pensões com muitos cês. O aumento do permanente das pensões mais baixas era a meiaça da oposição, às contas do orçamento para o próximo ano. Mas PS se chega, não se entenderam, e as propostas dos dois melhores partidos da oposição acabaram ...",18
17,20:06,21:12,1206.0,1272.0,1.1,Ambiente/Meteorologia/Proteção Civil,Internacional,Ambiente/Meteorologia/Proteção Civil,low_conflict,True,OCR and speech themes conflict.,0.636,0.714,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,20:30,24.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high","Ambiente/Meteorologia/Proteção Civil, Justiça/Segurança","Internacional, Governo/Partidos",,,20 14 | jornal nacional | tvi chamas lançaram o pânico | chamas lançaram o pânico | tvi 20 14 | incêndio deflagrou num pavilhão da cimeira do clima | tvi | chamas lançaram o pânico incêndio deflagrou num pavilhão da cimeira do clima,"Pranta a violência do fogo que deflagrou perto do pavilhão da China, instalou-se com a confusão e o pânico na apelidada Zona Azul. Milhas de pessoas foram retiradas da aula crítica do recinto e a pressar um saceiro plasona de acesso rastrito dedicado às negociações oficiais. Tem alguns amigos que estão lá, eu tomando a gente para a Cato Dinho, mas o que aconteceu mesmo foi o fogo, que está se exalando muito fácil, porque isso aqui é muito frágil, entendeu? Suspeita lançada pelo Ministro, que",19
18,21:12,41:15,1272.0,2475.0,20.05,Internacional,Internacional,Internacional,high,False,,0.925,0.35,38,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,21:00,12.0,"theme_changed, lexical_change_high, semantic_change_high, volume_change_high","Governo/Partidos, Justiça/Segurança, Internacional, Ambiente/Meteorologia/Proteção Civil, Desporto, Transportes/Mobilidade","Governo/Partidos, Internacional, Eleições/Campanha, Ambiente/Meteorologia/Proteção Civil, Desporto, Justiça/Segurança, Transportes/Mobilidade",,,não há feridos mas várias pessoas foram assistidas | celso sabino i ministro do turismo do brasil | incêndio na cop30 | tvi 20 15 | 20 15 | jornal nacional | não há feridos mas várias pessoas foram assistidas celso sabino i ministro do turismo do brasil | som,"Suspeita lançada pelo Ministro, que assegurou que foram respeitados todos os critérios técnicos na construção do recinto. O fogo foi dominado em cerca de 15 minutos, não a referidos a registar mas mostriou a várias pessoas foram assistidas devido à inalação de fume. Vários representantes portugueses deixaram o retrato de uma tarde para esquecer. Estabilizada? O evento permanece interrompido por questões de segurança e organização ainda está avaliar se há ou não condições para serem retumadas as negociações esta noite. São os écros de uma visita que veio mocher com muita gente. A admiração de Cristiano Ronaldo por Donald J. Trump já tinha deixado no ar muitas críticas ao jogador que na compan...","20, 21, 22"
19,41:15,47:39,2475.0,2859.0,6.4,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,0.844,0.676,12,candidate_detected,high,41:24,9.0,4,"new_body_terms, lexical_shift_from_baseline, body_zone_changed",True,41:00,15.0,"lexical_change_high, volume_change_high","Justiça/Segurança, Saúde, Educação, Economia/Proteção Social","Justiça/Segurança, Saúde, Ambiente/Meteorologia/Proteção Civil, Economia/Proteção Social",,,tvi 20 35 | a sec | 1 865 | a segu | roubos de milhares em supe | 20 35 | roubos de milhares em supermercados | tanqueray,"e a Cristiano Anal também. E é isso, é o Estado Unidos e no Avenue. Segundo dados da PSP e NR, em cada um dos últimos seis anos, o OVMaios de 450 troplamentos com fuga em Portugal, dos quais resultaram 40 mortes. E no total de 151.647 cd, registados pela PSP desde 2022, em 20% o fuga do condutor. Esta quinta-feira, as autoridades ainda tentavam localizar a condutor no atroplamento na guia. A vítima, uma mulher de 74 anos, foi transportada ao hospital de Faro com ferimentos nas pernas considerados lichens. há também números alarmantes no que se refera à violência doméstica. Só nos fomeiros 9 meses o NAPS, PIAG, e RG estarão mais de 25 mil casos. Ora, isso significa que a cada hora que passam,...","23, 24"
20,47:39,48:00,2859.0,2880.0,0.35,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,47:30,9.0,"theme_changed, volume_change_high",,Justiça/Segurança,,,2 976 | tvi 20 42 | beijar assim há 21 milhões de anos | 20 42 | jornal iacional | jornal nacional | há 21 milhões de anos | 1 vi 20 42,casos foram apresentadas caixas na PSP e os processos seguiram para o Ministério Público. A Polícia Esdiciária anunciou a,25
21,48:00,53:24,2880.0,3204.0,5.4,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,0.907,0.51,10,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,48:00,0.0,"lexical_change_high, volume_change_high",Justiça/Segurança,Justiça/Segurança,,,fraude milionária em palmela | tvi 20 42 | 20 42 | jornal nacional | empresário detido por orquestrar burla imobiliária | empresário detido por orquestrar burla imobiliár | tvi | 20 43,"detenção de um empresário de 48 anos, suspeito de orquestrar um plano de burla imobliária, em que enganou pelo menos uma centena de pessoas em Palomela. Desde 2017, construiu três condominhos de luz, com várias irregularidades, tendo a vender o mesmo imóvel a diversos clientes. Santa Trezinha, Alcai de Vila e Palmelha de Rims, três mutamentos separados por poucos minutos de distância e unidos no mesmo em redo de burla imobiliária que deixou famílias inteiras sem dinheiro e sem casa. Segundo a Polícia Esviciária, o esquema foi montado por Rumeus-Juelmar, saldo da Silva, socios gerente, da diagrama motriz empresa criada em 2007. Era através dela que o empresário prometia casas modernas, projet...","26, 27, 28"
22,53:24,53:27,3204.0,3207.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:00,36.0,"lexical_change_high, semantic_change_high, volume_change_high",,,,,tvi 20 47 | senhoras de 40 e tal anos,"na mira das autoridades. Os criminosos entram nas grandes superficies e roubam muitas vezes para toleiras inteiras, como mostram as imagens de vídeo a vigilância a redevência a nênia no Portugal tiveram acesso. Depois, através de um esquema organizado fazem revêndo a num mercado paralelo. Para escapar aos netetores de segurança, usam diferentes maios de dissimulação, comparata no fundo das malas.",29
23,53:27,54:12,3207.0,3252.0,0.75,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.333,1.0,2,weak_candidate_no_persistence,low,53:36,9.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",True,54:00,33.0,"lexical_change_high, semantic_change_high, volume_change_high",,,,,homens de 60 anos | 20 47 | jornal nacional | e havia um que até fui eu | que o apanhei | youghay | e havia um que até fui eu que o apanhei | tvi 20 47,"na mira das autoridades. Os criminosos entram nas grandes superficies e roubam muitas vezes para toleiras inteiras, como mostram as imagens de vídeo a vigilância a redevência a nênia no Portugal tiveram acesso. Depois, através de um esquema organizado fazem revêndo a num mercado paralelo. Para escapar aos netetores de segurança, usam diferentes maios de dissimulação, comparata no fundo das malas. Esta noite revelamos os documentos confidenciais da operação Picoas, que estão a provocar uma autêntica guerra entre",30
24,54:12,54:30,3252.0,3270.0,0.3,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:00,12.0,"lexical_change_high, semantic_change_high, volume_change_high",,,,,tvi 20 48 | 20 48 | tvi | 6800 | exclusivo,"Esta noite revelamos os documentos confidenciais da operação Picoas, que estão a provocar uma autêntica guerra entre",31
25,54:30,54:33,3270.0,3273.0,0.05,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:30,0.0,"new_theme_after_unknown, lexical_change_high, volume_change_high",,Economia/Proteção Social,,,tvi 20 48,"o mestério público e a defesa. O procurador do de Siape Rosalita e Xeirin, um esfete retributário paul Silva, garantem que a teia de empresas controlada por Hernan e Vasantunes, que foram colocadas ao serviço de Althys por Hermen do Pereira, cofondador da empresa, desfrautaram o estado em mais de 150 milhões de euros. Mas a defesa diz que este valor é simplesmente absurdo. Mais, o advogado, o rei patrício, escreve que o inspector paul",32
26,54:33,55:27,3273.0,3327.0,0.9,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.5,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:30,3.0,"new_theme_after_unknown, lexical_change_high, volume_change_high",,Economia/Proteção Social,,,e clusivo | operação | tvi 20 48 | exclusivo | excensivo | tvi 20 49 | altice | oper one,"o mestério público e a defesa. O procurador do de Siape Rosalita e Xeirin, um esfete retributário paul Silva, garantem que a teia de empresas controlada por Hernan e Vasantunes, que foram colocadas ao serviço de Althys por Hermen do Pereira, cofondador da empresa, desfrautaram o estado em mais de 150 milhões de euros. Mas a defesa diz que este valor é simplesmente absurdo. Mais, o advogado, o rei patrício, escreve que o inspector paul Silva está a fazer contas de Marciero Aldrabá.",33
27,55:27,55:39,3327.0,3339.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.25,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,no of street or other persons and street or other persons and street or other persons and street or other persons and street or other persons and street or other persons and street or other persons and street or o | tvi 20 49 | 20 49 | tvi | os documentos confidenciais da operação picoas | escândalo altice | 1 vi 20 49 | os confidenciais da operação picoas,Silva está a fazer contas de Marciero Aldrabá.,34
28,55:39,55:57,3339.0,3357.0,0.3,Justiça/Segurança,No speech,Justiça/Segurança,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,,,,tvi 20 50 | suspeitas de corrupção fraude fiscal e branqueamento | escândalo altice | 20 50 | exclusivo | absolutamente nenhum | embora gostasse | mas não me permitem,,35
29,55:57,56:09,3357.0,3369.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.75,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,portanto não há contactos | tvi 20 50 | 20 50 | exclusivo,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",36
30,56:09,56:18,3369.0,3378.0,0.15,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,tvi 20 50 | eu não queria falar | muito sobre isso | 20 50 | tvi | porque está no processo | mas posso dizer | que não é verdade,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",37
31,56:18,56:27,3378.0,3387.0,0.15,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,weak_candidate_no_persistence,low,56:24,6.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,Justiça/Segurança,,,,principais arguidos proibidos de manter contactos | 20 50 | escândalo altice | exclusivo | tvi 20 50 | cb eyr ext exp 2002 | sold fred proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the pro,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",38
32,56:27,56:30,3387.0,3390.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Economia/Proteção Social,,,,ce ecb ezb ekt ekp 2002 | tvi 20 50 | ce ecb ezb ekt ekd 2002 | bce ecb elb ent ent and,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",39
33,56:30,57:00,3390.0,3420.0,0.5,Other/Unknown,Internacional,Internacional,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Justiça/Segurança, Internacional",,,20 50 | exclusivo | contratos em troca de comissões | escândalo altice | tvi 20 50 | tvi | tvi 20 51 | 20 51,"empresa. Armando Pereira é um descreto milionário português, em migrantem França, mesmo depois da compra da PT pela Altice, poucas palavras cheviram em público. Nós nos voamos política, nós somos industriais e só vemos uma coisa que é importante, é fazer um trabalho e dar trabalho ao futuro do mesmo dia. Dois anos, após as primeiras buscas, agora a operação picou-as de o lugar a uma guerra judicial advogados de",40
34,57:00,57:06,3420.0,3426.0,0.1,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 51 | 20 51,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",41
35,57:06,57:09,3426.0,3429.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 51 | elle,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",42
