block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
15,14:09,14:24,849.0,864.0,0.25,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,weak_candidate_no_persistence,low,14:18,9.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,14:00,9.0,"theme_changed, entities_changed, volume_change_high",,"Governo/Partidos, Economia/Proteção Social",,,tvi 20 08 | ale | motoristas públicos fazem horas a mais | 1vi 20 08 | ac97po | 20 08 | jornal nacional | a097p0,"quinta-feira foi lidecretada à medida de coação mais gravosa, vai aguardar julgamento a imprisão preventiva. PS se chega anularam-se no Parlamento e não conseguiram aprovar o aumento permanente das pensões mais baixas que ambos",17,medium
16,14:24,20:06,864.0,1206.0,5.7,Eleições/Campanha,Economia/Proteção Social,Eleições/Campanha,low_conflict,True,OCR and speech themes conflict.,0.895,0.412,11,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,24.0,"theme_changed, entities_changed, volume_change_high","Economia/Proteção Social, Governo/Partidos, Transportes/Mobilidade, Eleições/Campanha","Governo/Partidos, Economia/Proteção Social, Transportes/Mobilidade, Eleições/Campanha, Educação","André Ventura, Luís Marques Mendes, António José Seguro",,det | tvi 20 08 | pensões não vão aumentar | 20 08 | jornal nacional | tvi | bónus aprovado mas aumento permanente chumbado | 20 09,"quinta-feira foi lidecretada à medida de coação mais gravosa, vai aguardar julgamento a imprisão preventiva. PS se chega anularam-se no Parlamento e não conseguiram aprovar o aumento permanente das pensões mais baixas que ambos defendiam. A vitória nas propostas de alteração ao Orçamento está devolta a ficar do lado do Governo. O PSD conseguiu vilizar a medida que os celistas tento criam a evitar. Para o ano, haverá apenas um suplemento extraordinário das pensões com muitos cês. O aumento do permanente das pensões mais baixas era a meiaça da oposição, às contas do orçamento para o próximo ano. Mas PS se chega, não se entenderam, e as propostas dos dois melhores partidos da oposição acabaram ...",18,high
17,20:06,21:12,1206.0,1272.0,1.1,Ambiente/Meteorologia/Proteção Civil,Internacional,Ambiente/Meteorologia/Proteção Civil,low_conflict,True,OCR and speech themes conflict.,0.636,0.714,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,20:30,24.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high","Ambiente/Meteorologia/Proteção Civil, Justiça/Segurança","Internacional, Governo/Partidos",,,20 14 | jornal nacional | tvi chamas lançaram o pânico | chamas lançaram o pânico | tvi 20 14 | incêndio deflagrou num pavilhão da cimeira do clima | tvi | chamas lançaram o pânico incêndio deflagrou num pavilhão da cimeira do clima,"Pranta a violência do fogo que deflagrou perto do pavilhão da China, instalou-se com a confusão e o pânico na apelidada Zona Azul. Milhas de pessoas foram retiradas da aula crítica do recinto e a pressar um saceiro plasona de acesso rastrito dedicado às negociações oficiais. Tem alguns amigos que estão lá, eu tomando a gente para a Cato Dinho, mas o que aconteceu mesmo foi o fogo, que está se exalando muito fácil, porque isso aqui é muito frágil, entendeu? Suspeita lançada pelo Ministro, que",19,high
20,47:39,48:00,2859.0,2880.0,0.35,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,47:30,9.0,"theme_changed, volume_change_high",,Justiça/Segurança,,,2 976 | tvi 20 42 | beijar assim há 21 milhões de anos | 20 42 | jornal iacional | jornal nacional | há 21 milhões de anos | 1 vi 20 42,casos foram apresentadas caixas na PSP e os processos seguiram para o Ministério Público. A Polícia Esdiciária anunciou a,25,medium
22,53:24,53:27,3204.0,3207.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:00,36.0,"lexical_change_high, semantic_change_high, volume_change_high",,,,,tvi 20 47 | senhoras de 40 e tal anos,"na mira das autoridades. Os criminosos entram nas grandes superficies e roubam muitas vezes para toleiras inteiras, como mostram as imagens de vídeo a vigilância a redevência a nênia no Portugal tiveram acesso. Depois, através de um esquema organizado fazem revêndo a num mercado paralelo. Para escapar aos netetores de segurança, usam diferentes maios de dissimulação, comparata no fundo das malas.",29,medium
23,53:27,54:12,3207.0,3252.0,0.75,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.333,1.0,2,weak_candidate_no_persistence,low,53:36,9.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",True,54:00,33.0,"lexical_change_high, semantic_change_high, volume_change_high",,,,,homens de 60 anos | 20 47 | jornal nacional | e havia um que até fui eu | que o apanhei | youghay | e havia um que até fui eu que o apanhei | tvi 20 47,"na mira das autoridades. Os criminosos entram nas grandes superficies e roubam muitas vezes para toleiras inteiras, como mostram as imagens de vídeo a vigilância a redevência a nênia no Portugal tiveram acesso. Depois, através de um esquema organizado fazem revêndo a num mercado paralelo. Para escapar aos netetores de segurança, usam diferentes maios de dissimulação, comparata no fundo das malas. Esta noite revelamos os documentos confidenciais da operação Picoas, que estão a provocar uma autêntica guerra entre",30,medium
24,54:12,54:30,3252.0,3270.0,0.3,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:00,12.0,"lexical_change_high, semantic_change_high, volume_change_high",,,,,tvi 20 48 | 20 48 | tvi | 6800 | exclusivo,"Esta noite revelamos os documentos confidenciais da operação Picoas, que estão a provocar uma autêntica guerra entre",31,medium
25,54:30,54:33,3270.0,3273.0,0.05,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:30,0.0,"new_theme_after_unknown, lexical_change_high, volume_change_high",,Economia/Proteção Social,,,tvi 20 48,"o mestério público e a defesa. O procurador do de Siape Rosalita e Xeirin, um esfete retributário paul Silva, garantem que a teia de empresas controlada por Hernan e Vasantunes, que foram colocadas ao serviço de Althys por Hermen do Pereira, cofondador da empresa, desfrautaram o estado em mais de 150 milhões de euros. Mas a defesa diz que este valor é simplesmente absurdo. Mais, o advogado, o rei patrício, escreve que o inspector paul",32,medium
26,54:33,55:27,3273.0,3327.0,0.9,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.5,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,54:30,3.0,"new_theme_after_unknown, lexical_change_high, volume_change_high",,Economia/Proteção Social,,,e clusivo | operação | tvi 20 48 | exclusivo | excensivo | tvi 20 49 | altice | oper one,"o mestério público e a defesa. O procurador do de Siape Rosalita e Xeirin, um esfete retributário paul Silva, garantem que a teia de empresas controlada por Hernan e Vasantunes, que foram colocadas ao serviço de Althys por Hermen do Pereira, cofondador da empresa, desfrautaram o estado em mais de 150 milhões de euros. Mas a defesa diz que este valor é simplesmente absurdo. Mais, o advogado, o rei patrício, escreve que o inspector paul Silva está a fazer contas de Marciero Aldrabá.",33,medium
27,55:27,55:39,3327.0,3339.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.25,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,no of street or other persons and street or other persons and street or other persons and street or other persons and street or other persons and street or other persons and street or other persons and street or o | tvi 20 49 | 20 49 | tvi | os documentos confidenciais da operação picoas | escândalo altice | 1 vi 20 49 | os confidenciais da operação picoas,Silva está a fazer contas de Marciero Aldrabá.,34,medium
28,55:39,55:57,3339.0,3357.0,0.3,Justiça/Segurança,No speech,Justiça/Segurança,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,,,,tvi 20 50 | suspeitas de corrupção fraude fiscal e branqueamento | escândalo altice | 20 50 | exclusivo | absolutamente nenhum | embora gostasse | mas não me permitem,,35,medium
29,55:57,56:09,3357.0,3369.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.75,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,portanto não há contactos | tvi 20 50 | 20 50 | exclusivo,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",36,medium
30,56:09,56:18,3369.0,3378.0,0.15,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,tvi 20 50 | eu não queria falar | muito sobre isso | 20 50 | tvi | porque está no processo | mas posso dizer | que não é verdade,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",37,medium
31,56:18,56:27,3378.0,3387.0,0.15,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,weak_candidate_no_persistence,low,56:24,6.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,Justiça/Segurança,,,,principais arguidos proibidos de manter contactos | 20 50 | escândalo altice | exclusivo | tvi 20 50 | cb eyr ext exp 2002 | sold fred proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the proposition of the pro,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",38,medium
32,56:27,56:30,3387.0,3390.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Economia/Proteção Social,,,,ce ecb ezb ekt ekp 2002 | tvi 20 50 | ce ecb ezb ekt ekd 2002 | bce ecb elb ent ent and,"Até a ex-doministerio público é que o Armando Pereira canalizava compras da Altice, para o amigo e outros empresários, em troca de comissões, que em perdia eram os acionistas da",39,medium
33,56:30,57:00,3390.0,3420.0,0.5,Other/Unknown,Internacional,Internacional,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Justiça/Segurança, Internacional",,,20 50 | exclusivo | contratos em troca de comissões | escândalo altice | tvi 20 50 | tvi | tvi 20 51 | 20 51,"empresa. Armando Pereira é um descreto milionário português, em migrantem França, mesmo depois da compra da PT pela Altice, poucas palavras cheviram em público. Nós nos voamos política, nós somos industriais e só vemos uma coisa que é importante, é fazer um trabalho e dar trabalho ao futuro do mesmo dia. Dois anos, após as primeiras buscas, agora a operação picou-as de o lugar a uma guerra judicial advogados de",40,medium
34,57:00,57:06,3420.0,3426.0,0.1,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 51 | 20 51,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",41,medium
35,57:06,57:09,3426.0,3429.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 51 | elle,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",42,medium
36,57:09,57:12,3429.0,3432.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Economia/Proteção Social,"Economia/Proteção Social, Justiça/Segurança",,,intercalar que atingia fundamentadamente pelos dados até aquela data conhecidos pelo | menos de cerca de 108 milhões de euros de impostos em falta | pereira hernâni antunes e jessica antunes nos termos expostos no referido relatório | rate en faror uma neturalização dos valores de impostos em falta | à data foi apurada uma vantagem patrimonial ilegítima atribuída aos suspeitos armando | 20 51 | de sociedades com sede em vários territórios parte das quais com um carácter meramente | falsificação ,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",43,medium
37,57:12,57:24,3432.0,3444.0,0.2,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Justiça/Segurança",,,20 51 | exclusivo | tvi 20 51 | aya,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",44,medium
38,57:24,57:48,3444.0,3468.0,0.4,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,36.0,"lexical_change_high, semantic_change_high",,"Economia/Proteção Social, Justiça/Segurança, Internacional",,,lhoes para o estado | tvi 20 51 | inspeção tributária reclama 154 milhões para o estado | 20 51 | exclusivo | operação picoas | tvi 20 52 | 20 52,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados crimes de fraude fiscal, branquiamente capitais e falsificação de documentos. Mateia complexa de empresas em vários países, França, onde fica a Sede de Altice, mas também nos emirados a Arabes Unidos, Luxemburgo, República Dominicana, Estados Unidos e Malta, a defesa contesta com palavras pouco comuns nos tribunais, as contas de mais de 150 milhões de euros, de impostos sem falta.",45,medium
40,58:06,58:09,3486.0,3489.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,6.0,"lexical_change_high, semantic_change_high",,,,,20 52 | exclusivo | percha diguis de la facilita en volo de ministrativo pom | periodes deposit or federal and union the distribution of pass,"O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN,",47,medium
41,58:09,58:21,3489.0,3501.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,9.0,"lexical_change_high, semantic_change_high",,,,,20 52 | of high de segment or arise other size a quantification do insert | tvi 20 52,"O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN,",48,medium
42,58:21,58:39,3501.0,3519.0,0.3,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,21.0,"lexical_change_high, semantic_change_high",,,,,20 52 | exclusivo | defesa acusa inspetor de ser merceeiro aldrabão | escândalo altice | tvi | tvi 20 52 | state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the s | defesa acusa inspetor de ser merceeiro aldrabã,"O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN, Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",49,medium
43,58:39,58:48,3519.0,3528.0,0.15,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,21.0,"new_theme_after_unknown, lexical_change_high",,,,,20 53,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",50,medium
44,58:48,58:51,3528.0,3531.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,12.0,"new_theme_after_unknown, lexical_change_high",,,,,20 53 | exclusivo | the owner when de | the column two,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",51,medium
45,58:51,58:54,3531.0,3534.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,9.0,"new_theme_after_unknown, lexical_change_high",,,,,tvi 20 53,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",52,medium
46,58:54,59:21,3534.0,3561.0,0.45,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.778,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,6.0,"new_theme_after_unknown, lexical_change_high",,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 53 | os documentos confidenciais da operação picoas | 20 53 | escândalo altice | tvi | exclusivo | mp e empresários relatam indícios de extorsã | mp e empresários relatam indícios de extorsão,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a cobrar impostos de forma ilegal e com Lativa argumenta os advogados para o infinito e mais além. No outro lado, os investigadores da opração picouas ouviram muitas desmunhas, várias relatam negócios feitos com a intermediação do amigo do fundador da Altice, um empresário e o Ministério Público, além de entender indíc...",53,medium
47,59:21,59:27,3561.0,3567.0,0.1,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,21.0,"new_theme_after_unknown, lexical_change_high",,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 53 | a total property of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the par | 14788 | comparison comparison of manifestation of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of | name and address of taxable par,"cobrar impostos de forma ilegal e com Lativa argumenta os advogados para o infinito e mais além. No outro lado, os investigadores da opração picouas ouviram muitas desmunhas, várias relatam negócios feitos com a intermediação do amigo do fundador da Altice, um empresário e o Ministério Público, além de entender indícios de instrução.",54,medium
