block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
12,Governo/Partidos,21.0,0.5384615384615384,39.0,1.0,2,"Governo/Partidos, Greves/Trabalho",,,"4, 5","nos contratos a prazo, duração máxima sob de dois para três anos. O período espememental passa de seis meses para um ano. O governo que ainda dá a possibilidade de um trabalhador comprar dois dias de férias, outra proposta é reduzir a flexibilidade do horário para trabalhadores com filhos até aos 12 anos, que até agora podem recusar essa fase de trabalho no outurno ou trabalhar aos fizessemenes e friados. Quanto a lei da greve o governo pretende serviços mínimos em alguns setores como nas unidades de cuidados e doces ou de crianças e no abertcimento alimentar. A menina do trabalho de IRTP que continua a negociar com os parceiros sociais incluindo com a UGT e considerou este temporário o anúncio da greve geral. Não há grave geral que demou o governo de fazer aquilo que entende que tem de ser feito. Mudar a lei laboral, mas a ministra do","nos contratos a prazo, duração máxima sob de dois para três anos. O período espememental passa de seis meses para um ano. O governo que ainda dá a possibilidade de um trabalhador comprar dois dias de férias, outra proposta é reduzir a flexibilidade do horário para trabalhadores com filhos até aos 12 anos, que até agora podem recusar essa fase de trabalho no outurno ou trabalhar aos fizessemenes e friados. Quanto a lei da greve o governo pretende serviços mínimos em alguns setores como nas unidades de cuidados e doces ou de crianças e no abertcimento alimentar. A menina do trabalho de IRTP que continua a negociar com os parceiros sociais incluindo com a UGT e considerou este temporário o anún..."
13,Governo/Partidos,39.0,0.24528301886792453,159.0,0.6883116883116883,6,"Governo/Partidos, Greves/Trabalho, Economia/Proteção Social",,,"4, 5, 6, 7","pretende serviços mínimos em alguns setores como nas unidades de cuidados e doces ou de crianças e no abertcimento alimentar. A menina do trabalho de IRTP que continua a negociar com os parceiros sociais incluindo com a UGT e considerou este temporário o anúncio da greve geral. Não há grave geral que demou o governo de fazer aquilo que entende que tem de ser feito. Mudar a lei laboral, mas a ministra do trabalho garante que vai fazer sentada a mesa com os parceiros sociais. Não deixo obviamente de dizer que me parece a este temporário, não da parte da CGTP, que se posa mais na negociação, mas da parte da UGT considero-se temporário fazer agora este anúncio, porque, na verdade, nós estamos sentados a mesa negociar. Em entrevista a RTP notícias, Maria do Rosário Ramálio criticasse a postura da UGT, mas diz acreditar que ainda será possível fechar um acordo com os parceiros sociais. E onde as centrais sindicais veem ataques aos direitos dos trabalhadores, a ministra V. E que liberou. Não é uma reforma apenas para favorecer as empresas. E contra os trabalhadores, não é um retrocesso civilizacional, como já ouvi dizer, a ministra do trabalho, insiste que esta é altura certa para fazer uma reforma laboral diz que é quando o mercado do trabalho está à robusto e sem sobressaltes econômicos que se devem fazer reformas estruturais. E para a ministra, a atual de exlação não acompanha a evolução do mercado de trabalho. A nossa legislação não acompanhar a economia, não promover a produtividade, basear-se no modelo de trabalho, que é do século vinte ou até do século XIX, porque você não faz o sentido nenhum. A terceira sessão volta a ficar marcada por contradições nos depoimentos. Esta segunda-feira foram ao vídeo três moradores da Cova da Mora. Estes tumunhas vivem em rua principal do bairro onde o Adair Monís foi abalhado. Dizem-te-ervisto que aconteceu diándimos diferentes. O barulho de tiros daquela madrugada de outubro fez os moradores, espreitarem a janela. As três destumunhas garantiram o intibunal que o Adair Monís não trazia nenhum objeto nas mãos. Quando foi alvejado.","pretende serviços mínimos em alguns setores como nas unidades de cuidados e doces ou de crianças e no abertcimento alimentar. A menina do trabalho de IRTP que continua a negociar com os parceiros sociais incluindo com a UGT e considerou este temporário o anúncio da greve geral. Não há grave geral que demou o governo de fazer aquilo que entende que tem de ser feito. Mudar a lei laboral, mas a ministra do trabalho garante que vai fazer sentada a mesa com os parceiros sociais. Não deixo obviamente de dizer que me parece a este temporário, não da parte da CGTP, que se posa mais na negociação, mas da parte da UGT considero-se temporário fazer agora este anúncio, porque, na verdade, nós estamos se..."
14,No speech,0.0,0.0,0.0,0.0,0,,,,,,
15,No speech,0.0,0.0,0.0,0.0,0,,,,,,
16,Eleições/Campanha,30.0,0.5,60.0,0.46511627906976744,2,Eleições/Campanha,Catarina Martins,,8,"em causa uma entrevista em que Gov. e Mell deu a confirmar que decidiu avançar para as presidenciais depois de ter lido um artigo no expresso que falava de uma ligada tentativa de Marcelo Rebeleçosa a travar essa candidatura. Já esta manhã, Gov. e Mell negou ter sido uma tentativa de travar que eu levo a candidatar Sabelain, mesmo depois de várias correções e esclarecimentos, Catarina Martins acusou o adversário e usar os mesmas táticas que andrei à aventura.","em causa uma entrevista em que Gov. e Mell deu a confirmar que decidiu avançar para as presidenciais depois de ter lido um artigo no expresso que falava de uma ligada tentativa de Marcelo Rebeleçosa a travar essa candidatura. Já esta manhã, Gov. e Mell negou ter sido uma tentativa de travar que eu levo a candidatar Sabelain, mesmo depois de várias correções e esclarecimentos, Catarina Martins acusou o adversário e usar os mesmas táticas que andrei à aventura."
17,Governo/Partidos,30.0,0.45454545454545453,66.0,0.5238095238095238,3,"Justiça/Segurança, Governo/Partidos",,CHEGA,9,"O presidente da República abriu um inquérito a Flip Melo. O deputado do Chega é causado de ter gritado palavras racistas e eschenófbas no Parlamento de decisão de aguer branco. Suas na sequência de um pedido feito pela deputada socialista Eva Cruzero, numa carta ao presidente do Parlamento. O caso ocorreu durante uma audição de ministro da Presidência quando se debatia a inigração. A deputada disse que o Flip Melo ligritou volta para a tua terra. No despacho, aqui a RTPHVSS, o presidente da República considerou que estes factos podem configurar uma violação dos deveros fundamentais dos deputados.","O presidente da República abriu um inquérito a Flip Melo. O deputado do Chega é causado de ter gritado palavras racistas e eschenófbas no Parlamento de decisão de aguer branco. Suas na sequência de um pedido feito pela deputada socialista Eva Cruzero, numa carta ao presidente do Parlamento. O caso ocorreu durante uma audição de ministro da Presidência quando se debatia a inigração. A deputada disse que o Flip Melo ligritou volta para a tua terra. No despacho, aqui a RTPHVSS, o presidente da República considerou que estes factos podem configurar uma violação dos deveros fundamentais dos deputados."
18,Eleições/Campanha,6.0,0.2,30.0,1.0,2,"Eleições/Campanha, Economia/Proteção Social, Internacional",,,"9, 10","dos deveros fundamentais dos deputados. O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos","dos deveros fundamentais dos deputados. O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos"
19,Eleições/Campanha,3.0,1.0,3.0,1.0,1,"Eleições/Campanha, Economia/Proteção Social, Internacional",,,10,"O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos","O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos"
20,Eleições/Campanha,12.0,1.0,12.0,1.0,1,"Eleições/Campanha, Economia/Proteção Social, Internacional",,,10,"O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos","O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos"
21,Eleições/Campanha,6.0,1.0,6.0,1.0,1,"Eleições/Campanha, Economia/Proteção Social, Internacional",,,10,"O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos","O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos"
22,Internacional,21.0,0.875,24.0,1.0,2,"Eleições/Campanha, Economia/Proteção Social, Internacional",,,10,"O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos Estados Unidos.","O caos instalou-se nos últimos dias nos aeroportos norte-americanos com milhares de voos cancelados ou trazados. A fluência aos bancos alimentares aumentou em muitos locais, preeníveis só comparáveis à pandemia à 42 milhões de pessoas em necessidade. Foram razões para o 8 senadores democratas, juntaram os seus votos aos repoblicanos e iniciaram assim o fim do bloqueio orçamental nos Estados Unidos."
23,Internacional,6.0,1.0,6.0,1.0,1,Internacional,,,10,Estados Unidos.,Estados Unidos.
24,Internacional,3.0,1.0,3.0,0.125,1,Internacional,,,10,Estados Unidos.,Estados Unidos.
25,No speech,0.0,0.0,0.0,0.0,0,,,,,,
26,No speech,0.0,0.0,0.0,0.0,0,,,,,,
27,No speech,0.0,0.0,0.0,0.0,0,,,,,,
28,Governo/Partidos,6.0,1.0,6.0,1.0,1,"Governo/Partidos, Internacional",,,11,"Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às","Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às"
29,Governo/Partidos,12.0,1.0,12.0,1.0,1,"Governo/Partidos, Internacional",,,11,"Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às","Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às"
30,Governo/Partidos,9.0,1.0,9.0,1.0,1,"Governo/Partidos, Internacional",,,11,"Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às","Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às"
31,Saúde,15.0,0.8333333333333334,18.0,1.0,2,"Governo/Partidos, Internacional, Saúde",,,11,"Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às verbas para cuidados de saúde.","Esta proposta ainda trada ir à Câmara de Representantes e depois voltaram ao Senado para uma votação final antes de seguir para a Casa Branca para ser promulgada pelo Presidente norte-americano. De qualquer modo, é uma medida temporária para ver o funcionamento do governo até 30 de janeiro para dar tempo a eventuais entendimentos sobre a divergência de fundo, o acesso às verbas para cuidados de saúde."
32,Habitação,24.0,0.6153846153846154,39.0,0.5652173913043478,2,"Saúde, Habitação",,,"11, 12","verbas para cuidados de saúde. Acible turísticos, no seu pomo, falou que está o dono sempre, vem arri �írians comwell, onde hygIES-renda os du察es e sedan vai com să fico groza a uma,","verbas para cuidados de saúde. Acible turísticos, no seu pomo, falou que está o dono sempre, vem arri �írians comwell, onde hygIES-renda os du察es e sedan vai com să fico groza a uma,"
33,Habitação,6.0,0.2222222222222222,27.0,1.0,2,Habitação,,,12,"Acible turísticos, no seu pomo, falou que está o dono sempre, vem arri �írians comwell, onde hygIES-renda os du察es e sedan vai com să fico groza a uma, além desse mesmo choice de scoot ter смерto. A Damro do Cario, Papas B unserer ta Cup – 메�장ní��ígia. Estou lhes reclamado pela praele do os vai slower.","Acible turísticos, no seu pomo, falou que está o dono sempre, vem arri �írians comwell, onde hygIES-renda os du察es e sedan vai com să fico groza a uma, além desse mesmo choice de scoot ter смерto. A Damro do Cario, Papas B unserer ta Cup – 메�장ní��ígia. Estou lhes reclamado pela praele do os vai slower."
34,Other/Unknown,9.0,1.0,9.0,0.3,1,,,,12,"além desse mesmo choice de scoot ter смерto. A Damro do Cario, Papas B unserer ta Cup – 메�장ní��ígia. Estou lhes reclamado pela praele do os vai slower.","além desse mesmo choice de scoot ter смерto. A Damro do Cario, Papas B unserer ta Cup – 메�장ní��ígia. Estou lhes reclamado pela praele do os vai slower."
35,Justiça/Segurança,90.0,0.6666666666666666,135.0,0.7758620689655172,5,"Governo/Partidos, Justiça/Segurança, Eleições/Campanha, Internacional, Ambiente/Meteorologia/Proteção Civil",,,"13, 14, 15, 16","Os vís de execução de penas considerou não haver perigo de fuga ou risco da distribuição de provas. Por isso, arrecosir pode ser inilibrado com control judicial, sem por ser eletrônica. O antigo Steff de Estado está em pedido de sair do país, não pode contactar direto ou indiratamente com os outros condinados. Numa medida inédita e para não haver pressão sobre advogados e mostrados, o juíste também decidiu que o antigo Steff de Estado não pode contactar com o ministro da justiça exercício. Esta decisão de libertação não termina com a condinação da cinco anos de cadeia no processo de financiamento e legal da campanha presidencial de 2017. Significa assim que Nicola Sarcosi pode esperar em casa pela decisão do recurso apresentado no Supremo Tribunal de Justiça recurso mesmo que será decidido em março do próximo. O Tufão Fung Long provocou destruição nas Filipinas. O Tufão fez quatro mortos no país e obrigou 1 milhão e 400 mil pessoas a abandonarem as casas. As rejadas de ventos chegaram aos 230 km por hora, com a chuva e não dar mais de 100 localidades. O Tufão dirige agora para Taiwan, mas está a perder intensidade. e começou no Brasil a conferência das Nossas Unidas sobre mudanças climáticas, COP 30, conta com ilgações de 160 países e 57 chefes de Estado ou do governo. Entre eles não estão","Os vís de execução de penas considerou não haver perigo de fuga ou risco da distribuição de provas. Por isso, arrecosir pode ser inilibrado com control judicial, sem por ser eletrônica. O antigo Steff de Estado está em pedido de sair do país, não pode contactar direto ou indiratamente com os outros condinados. Numa medida inédita e para não haver pressão sobre advogados e mostrados, o juíste também decidiu que o antigo Steff de Estado não pode contactar com o ministro da justiça exercício. Esta decisão de libertação não termina com a condinação da cinco anos de cadeia no processo de financiamento e legal da campanha presidencial de 2017. Significa assim que Nicola Sarcosi pode esperar em cas..."
36,Ambiente/Meteorologia/Proteção Civil,21.0,0.5833333333333334,36.0,1.0,2,"Governo/Partidos, Internacional, Ambiente/Meteorologia/Proteção Civil",,,"15, 16","casas. As rejadas de ventos chegaram aos 230 km por hora, com a chuva e não dar mais de 100 localidades. O Tufão dirige agora para Taiwan, mas está a perder intensidade. e começou no Brasil a conferência das Nossas Unidas sobre mudanças climáticas, COP 30, conta com ilgações de 160 países e 57 chefes de Estado ou do governo. Entre eles não estão os líderes da China e dos Estados Unidos dos dois maiores e milissores de gases e feitos do Fado Planeta. A indiscução vão estar vários temas, a transição energética, o financiamento climático e a proteção das florestas tropicales. O programa da ONU para o meio ambiente prevê um aumento da temperatura da terra entre 2,3 e 2,8 graus Celsius até o fim deste século.","casas. As rejadas de ventos chegaram aos 230 km por hora, com a chuva e não dar mais de 100 localidades. O Tufão dirige agora para Taiwan, mas está a perder intensidade. e começou no Brasil a conferência das Nossas Unidas sobre mudanças climáticas, COP 30, conta com ilgações de 160 países e 57 chefes de Estado ou do governo. Entre eles não estão os líderes da China e dos Estados Unidos dos dois maiores e milissores de gases e feitos do Fado Planeta. A indiscução vão estar vários temas, a transição energética, o financiamento climático e a proteção das florestas tropicales. O programa da ONU para o meio ambiente prevê um aumento da temperatura da terra entre 2,3 e 2,8 graus Celsius até o fim ..."
37,Ambiente/Meteorologia/Proteção Civil,9.0,1.0,9.0,1.0,1,"Internacional, Ambiente/Meteorologia/Proteção Civil",,,16,"os líderes da China e dos Estados Unidos dos dois maiores e milissores de gases e feitos do Fado Planeta. A indiscução vão estar vários temas, a transição energética, o financiamento climático e a proteção das florestas tropicales. O programa da ONU para o meio ambiente prevê um aumento da temperatura da terra entre 2,3 e 2,8 graus Celsius até o fim deste século.","os líderes da China e dos Estados Unidos dos dois maiores e milissores de gases e feitos do Fado Planeta. A indiscução vão estar vários temas, a transição energética, o financiamento climático e a proteção das florestas tropicales. O programa da ONU para o meio ambiente prevê um aumento da temperatura da terra entre 2,3 e 2,8 graus Celsius até o fim deste século."
38,No speech,0.0,0.0,0.0,0.0,0,,,,,,
39,No speech,0.0,0.0,0.0,0.0,0,,,,,,
40,No speech,0.0,0.0,0.0,0.0,0,,,,,,
41,No speech,0.0,0.0,0.0,0.0,0,,,,,,
42,No speech,0.0,0.0,0.0,0.0,0,,,,,,
43,Other/Unknown,21.0,1.0,21.0,0.5833333333333334,1,,,,17,"da cidade onde morreu Simon Bolivar, conhecido como libertador, sem uma declaração","da cidade onde morreu Simon Bolivar, conhecido como libertador, sem uma declaração"
44,Ambiente/Meteorologia/Proteção Civil,30.0,0.16666666666666666,180.0,0.6666666666666666,7,"Internacional, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho, Eleições/Campanha",,,"17, 18, 19","da cidade onde morreu Simon Bolivar, conhecido como libertador, sem uma declaração com 52 pontos. Com mensagens diretas à Casa Branca, contra anagação das alterações climáticas, as taxas comerciais e à política de deportações, o combate ao narcotráfico entrou nos trabalhos. Donald Trump ameaçou professar a BBC em causa de um documentário que levou à demissão do diretor-geral e da diretora de informação do televisão pública britânica. Os advogados do presidente americano admitiram exigir uma indemunização de mil milhões de dólares se estação não se reteratar publicamente. O documentário envolve uma montagem do discurso de Trump antes da invasão ao capital e o Washington, juntando partes distintas do discurso do presidente americano. O documentário mostra-o a falar sobre a manifestação. Trump convidou os manifestantes a ir em pro capital e disse-lhes para lutar em como demônios, caso contrário, deixeriam de ter um país e nunca o recuperariam com frakeza. Mas o documentário admitiu uma frase em que o presidente disse para fazerem ouvir as suas vozes pacífica e patrióticamente. O presidente ABC pediu desculpas pro erro de julgamento e disse que a imissora aceita que a forma como discurso foi editado deu a impressão de um apel direto à ação violenta. Trump acusou os nulistas da BBC, necerem corruptos e desonestos e detentarem interferir nas eleições presidenciais. Aproveitando o facto de ser um fim de semana prolongado, amanhã é o dia oficial das lebrações dos 50 anos da independência. A população do Luanda saiu da cidade. A cidade está basicamente deserta, mas aqui, nesta zona das praias, é onde vêm conviver um pouco a aproveitar o Sol, o bom tempo para se prepararem para esta festa. Então, o que acontece amanhã, celebrando assim os 50 anos da independência do país.","da cidade onde morreu Simon Bolivar, conhecido como libertador, sem uma declaração com 52 pontos. Com mensagens diretas à Casa Branca, contra anagação das alterações climáticas, as taxas comerciais e à política de deportações, o combate ao narcotráfico entrou nos trabalhos. Donald Trump ameaçou professar a BBC em causa de um documentário que levou à demissão do diretor-geral e da diretora de informação do televisão pública britânica. Os advogados do presidente americano admitiram exigir uma indemunização de mil milhões de dólares se estação não se reteratar publicamente. O documentário envolve uma montagem do discurso de Trump antes da invasão ao capital e o Washington, juntando partes disti..."
45,Other/Unknown,6.0,1.0,6.0,1.0,1,,,,19,"lebrações dos 50 anos da independência. A população do Luanda saiu da cidade. A cidade está basicamente deserta, mas aqui, nesta zona das praias, é onde vêm conviver um pouco a aproveitar o Sol, o bom tempo para se prepararem para esta festa. Então, o que acontece amanhã, celebrando assim os 50 anos da independência do país.","lebrações dos 50 anos da independência. A população do Luanda saiu da cidade. A cidade está basicamente deserta, mas aqui, nesta zona das praias, é onde vêm conviver um pouco a aproveitar o Sol, o bom tempo para se prepararem para esta festa. Então, o que acontece amanhã, celebrando assim os 50 anos da independência do país."
